postcode,borough,crime_type,date,borough_risk_level,borough_crime_rate,training_text,risk_score,premium_multiplier
E5 3RB,Hackney,Vehicle Crime,2023-05-24,High,140.1,"Crime Data: Vehicle Crime in Hackney (E5 3RB)
Date: 2023-05-24 at 01:55
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 140.1, High risk area, High time risk
Assessment: Vehicles in E5 3RB area have high theft risk due to 140.1 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.01,1.2
SW9 9MK,Lambeth,Vehicle Crime,2022-06-26,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SW9 9MK)
Date: 2022-06-26 at 05:22
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SW9 9MK area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
SE9 6YA,Greenwich,Vehicle Crime,2020-11-24,Medium,95.4,"Crime Data: Vehicle Crime in Greenwich (SE9 6YA)
Date: 2020-11-24 at 08:50
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 95.4, Medium risk area, Medium time risk
Assessment: Vehicles in SE9 6YA area have medium theft risk due to 95.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",39.54,1.0
WC1 8CW,Camden,Vehicle Crime,2024-07-16,High,172.4,"Crime Data: Vehicle Crime in Camden (WC1 8CW)
Date: 2024-07-16 at 19:11
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, Medium time risk
Assessment: Vehicles in WC1 8CW area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",53.24,1.2
SW20 6AT,Merton,Vehicle Crime,2024-01-18,Low,73.1,"Crime Data: Vehicle Crime in Merton (SW20 6AT)
Date: 2024-01-18 at 03:38
Outcome: Under Investigation
Risk Factors: Borough crime rate 73.1, Low risk area, High time risk
Assessment: Vehicles in SW20 6AT area have low theft risk due to 73.1 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.31,0.8
W1 3TR,Westminster,Vehicle Crime,2021-11-20,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W1 3TR)
Date: 2021-11-20 at 01:21
Outcome: Under Investigation
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W1 3TR area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
UB8 8DN,Hillingdon,Vehicle Crime,2021-06-27,Low,70.2,"Crime Data: Vehicle Crime in Hillingdon (UB8 8DN)
Date: 2021-06-27 at 01:47
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 70.2, Low risk area, High time risk
Assessment: Vehicles in UB8 8DN area have low theft risk due to 70.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.019999999999996,0.8
IG6 5YS,Redbridge,Vehicle Crime,2024-12-21,Low,71.6,"Crime Data: Vehicle Crime in Redbridge (IG6 5YS)
Date: 2024-12-21 at 17:17
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 71.6, Low risk area, High time risk
Assessment: Vehicles in IG6 5YS area have low theft risk due to 71.6 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.16,0.8
NW4 3NE,Barnet,Vehicle Crime,2020-08-20,Low,68.5,"Crime Data: Vehicle Crime in Barnet (NW4 3NE)
Date: 2020-08-20 at 06:06
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 68.5, Low risk area, High time risk
Assessment: Vehicles in NW4 3NE area have low theft risk due to 68.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.85,0.8
SW3 1NS,Kensington and Chelsea,Vehicle Crime,2023-07-15,High,145.7,"Crime Data: Vehicle Crime in Kensington and Chelsea (SW3 1NS)
Date: 2023-07-15 at 00:08
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 145.7, High risk area, High time risk
Assessment: Vehicles in SW3 1NS area have high theft risk due to 145.7 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.57,1.2
EN2 9FK,Enfield,Vehicle Crime,2020-11-10,Low,76.4,"Crime Data: Vehicle Crime in Enfield (EN2 9FK)
Date: 2020-11-10 at 07:06
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 76.4, Low risk area, Medium time risk
Assessment: Vehicles in EN2 9FK area have low theft risk due to 76.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",28.64,0.8
SW19 4XJ,Merton,Vehicle Crime,2024-11-07,Low,73.1,"Crime Data: Vehicle Crime in Merton (SW19 4XJ)
Date: 2024-11-07 at 04:35
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 73.1, Low risk area, High time risk
Assessment: Vehicles in SW19 4XJ area have low theft risk due to 73.1 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.31,0.8
DA6 4TK,Bexley,Vehicle Crime,2022-07-26,Low,63.9,"Crime Data: Vehicle Crime in Bexley (DA6 4TK)
Date: 2022-07-26 at 15:28
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 63.9, Low risk area, Medium time risk
Assessment: Vehicles in DA6 4TK area have low theft risk due to 63.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",27.39,0.8
SW2 2JT,Lambeth,Vehicle Crime,2022-11-18,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SW2 2JT)
Date: 2022-11-18 at 02:12
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SW2 2JT area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
SE24 2BN,Lambeth,Vehicle Crime,2023-10-22,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SE24 2BN)
Date: 2023-10-22 at 10:32
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SE24 2BN area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
E4 4FP,Waltham Forest,Vehicle Crime,2021-10-10,Medium,86.7,"Crime Data: Vehicle Crime in Waltham Forest (E4 4FP)
Date: 2021-10-10 at 03:28
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 86.7, Medium risk area, High time risk
Assessment: Vehicles in E4 4FP area have medium theft risk due to 86.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.67,1.0
IG4 7DS,Redbridge,Vehicle Crime,2021-02-15,Low,71.6,"Crime Data: Vehicle Crime in Redbridge (IG4 7DS)
Date: 2021-02-15 at 15:11
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 71.6, Low risk area, Medium time risk
Assessment: Vehicles in IG4 7DS area have low theft risk due to 71.6 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",28.16,0.8
W14 4KH,Hammersmith and Fulham,Vehicle Crime,2023-02-13,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W14 4KH)
Date: 2023-02-13 at 05:45
Outcome: Charged/Summonsed
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in W14 4KH area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
CR4 8GW,Merton,Vehicle Crime,2023-05-21,Low,73.1,"Crime Data: Vehicle Crime in Merton (CR4 8GW)
Date: 2023-05-21 at 01:38
Outcome: Under Investigation
Risk Factors: Borough crime rate 73.1, Low risk area, High time risk
Assessment: Vehicles in CR4 8GW area have low theft risk due to 73.1 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.31,0.8
W3 2FS,Ealing,Vehicle Crime,2024-05-16,Medium,88.2,"Crime Data: Vehicle Crime in Ealing (W3 2FS)
Date: 2024-05-16 at 00:59
Outcome: Under Investigation
Risk Factors: Borough crime rate 88.2, Medium risk area, High time risk
Assessment: Vehicles in W3 2FS area have medium theft risk due to 88.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.82,1.0
EC1 7CP,City of London,Vehicle Crime,2021-12-20,Very High,1176.0,"Crime Data: Vehicle Crime in City of London (EC1 7CP)
Date: 2021-12-20 at 16:42
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 1176.0, Very High risk area, Medium time risk
Assessment: Vehicles in EC1 7CP area have very high theft risk due to 1176.0 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",65.0,1.3
E12 1ZX,Newham,Vehicle Crime,2021-11-08,High,128.9,"Crime Data: Vehicle Crime in Newham (E12 1ZX)
Date: 2021-11-08 at 08:53
Outcome: Under Investigation
Risk Factors: Borough crime rate 128.9, High risk area, Medium time risk
Assessment: Vehicles in E12 1ZX area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",48.89,1.2
E14 5CQ,Tower Hamlets,Vehicle Crime,2023-09-26,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E14 5CQ)
Date: 2023-09-26 at 01:51
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E14 5CQ area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
UB2 6PM,Ealing,Vehicle Crime,2023-11-09,Medium,88.2,"Crime Data: Vehicle Crime in Ealing (UB2 6PM)
Date: 2023-11-09 at 06:04
Outcome: Under Investigation
Risk Factors: Borough crime rate 88.2, Medium risk area, High time risk
Assessment: Vehicles in UB2 6PM area have medium theft risk due to 88.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.82,1.0
SE24 8SQ,Lambeth,Vehicle Crime,2022-09-08,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SE24 8SQ)
Date: 2022-09-08 at 00:35
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SE24 8SQ area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
HA9 2GL,Brent,Vehicle Crime,2021-05-04,Medium,90.5,"Crime Data: Vehicle Crime in Brent (HA9 2GL)
Date: 2021-05-04 at 22:23
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 90.5, Medium risk area, High time risk
Assessment: Vehicles in HA9 2GL area have medium theft risk due to 90.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.05,1.0
SE18 7WL,Greenwich,Vehicle Crime,2021-03-06,Medium,95.4,"Crime Data: Vehicle Crime in Greenwich (SE18 7WL)
Date: 2021-03-06 at 03:56
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 95.4, Medium risk area, High time risk
Assessment: Vehicles in SE18 7WL area have medium theft risk due to 95.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.54,1.0
E7 4JA,Newham,Vehicle Crime,2021-03-03,High,128.9,"Crime Data: Vehicle Crime in Newham (E7 4JA)
Date: 2021-03-03 at 05:04
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E7 4JA area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
N7 2SY,Islington,Vehicle Crime,2021-11-05,High,138.2,"Crime Data: Vehicle Crime in Islington (N7 2SY)
Date: 2021-11-05 at 04:03
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 138.2, High risk area, High time risk
Assessment: Vehicles in N7 2SY area have high theft risk due to 138.2 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.82,1.2
W2 1NR,Westminster,Vehicle Crime,2022-05-17,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 1NR)
Date: 2022-05-17 at 00:33
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W2 1NR area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
E14 1UQ,Tower Hamlets,Vehicle Crime,2022-11-06,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E14 1UQ)
Date: 2022-11-06 at 13:32
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E14 1UQ area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
NW3 8LE,Camden,Vehicle Crime,2023-08-11,High,172.4,"Crime Data: Vehicle Crime in Camden (NW3 8LE)
Date: 2023-08-11 at 01:48
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, High time risk
Assessment: Vehicles in NW3 8LE area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",63.24,1.2
W14 8JW,Hammersmith and Fulham,Vehicle Crime,2024-10-25,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W14 8JW)
Date: 2024-10-25 at 04:48
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in W14 8JW area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
CR4 4KU,Croydon,Vehicle Crime,2020-01-27,Low,79.8,"Crime Data: Vehicle Crime in Croydon (CR4 4KU)
Date: 2020-01-27 at 17:16
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 79.8, Low risk area, Medium time risk
Assessment: Vehicles in CR4 4KU area have low theft risk due to 79.8 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",28.98,0.8
W12 5QZ,Hammersmith and Fulham,Vehicle Crime,2020-04-23,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W12 5QZ)
Date: 2020-04-23 at 04:24
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 125.3, High risk area, High time risk
Assessment: Vehicles in W12 5QZ area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.53,1.2
W12 2FF,Hammersmith and Fulham,Vehicle Crime,2020-01-01,High,125.3,"Crime Data: Vehicle Crime in Hammersmith and Fulham (W12 2FF)
Date: 2020-01-01 at 17:48
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 125.3, High risk area, Medium time risk
Assessment: Vehicles in W12 2FF area have high theft risk due to 125.3 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",48.53,1.2
W2 9YR,Westminster,Vehicle Crime,2024-01-06,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 9YR)
Date: 2024-01-06 at 03:55
Outcome: Under Investigation
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W2 9YR area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
IG11 8VS,Barking and Dagenham,Vehicle Crime,2020-02-12,Medium,82.3,"Crime Data: Vehicle Crime in Barking and Dagenham (IG11 8VS)
Date: 2020-02-12 at 02:23
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 82.3, Medium risk area, High time risk
Assessment: Vehicles in IG11 8VS area have medium theft risk due to 82.3 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.230000000000004,1.0
SE17 3ZC,Southwark,Vehicle Crime,2020-08-30,High,130.4,"Crime Data: Vehicle Crime in Southwark (SE17 3ZC)
Date: 2020-08-30 at 00:16
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 130.4, High risk area, High time risk
Assessment: Vehicles in SE17 3ZC area have high theft risk due to 130.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.04,1.2
E10 4CR,Waltham Forest,Vehicle Crime,2023-11-18,Medium,86.7,"Crime Data: Vehicle Crime in Waltham Forest (E10 4CR)
Date: 2023-11-18 at 06:40
Outcome: Under Investigation
Risk Factors: Borough crime rate 86.7, Medium risk area, High time risk
Assessment: Vehicles in E10 4CR area have medium theft risk due to 86.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.67,1.0
HA5 7BB,Hillingdon,Vehicle Crime,2022-04-22,Low,70.2,"Crime Data: Vehicle Crime in Hillingdon (HA5 7BB)
Date: 2022-04-22 at 00:45
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 70.2, Low risk area, High time risk
Assessment: Vehicles in HA5 7BB area have low theft risk due to 70.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.019999999999996,0.8
BR1 6CP,Bromley,Vehicle Crime,2020-12-10,Low,65.4,"Crime Data: Vehicle Crime in Bromley (BR1 6CP)
Date: 2020-12-10 at 06:18
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 65.4, Low risk area, High time risk
Assessment: Vehicles in BR1 6CP area have low theft risk due to 65.4 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.54,0.8
E6 7TL,Newham,Vehicle Crime,2021-06-27,High,128.9,"Crime Data: Vehicle Crime in Newham (E6 7TL)
Date: 2021-06-27 at 03:04
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E6 7TL area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
N17 9VN,Haringey,Vehicle Crime,2021-09-27,Medium,85.9,"Crime Data: Vehicle Crime in Haringey (N17 9VN)
Date: 2021-09-27 at 07:18
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 85.9, Medium risk area, Medium time risk
Assessment: Vehicles in N17 9VN area have medium theft risk due to 85.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",38.59,1.0
E8 1HE,Hackney,Vehicle Crime,2023-05-07,High,140.1,"Crime Data: Vehicle Crime in Hackney (E8 1HE)
Date: 2023-05-07 at 05:37
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 140.1, High risk area, High time risk
Assessment: Vehicles in E8 1HE area have high theft risk due to 140.1 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.01,1.2
W2 1RL,Westminster,Vehicle Crime,2024-01-10,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 1RL)
Date: 2024-01-10 at 04:42
Outcome: Charged/Summonsed
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W2 1RL area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
SW8 3XC,Lambeth,Vehicle Crime,2020-05-11,High,132.6,"Crime Data: Vehicle Crime in Lambeth (SW8 3XC)
Date: 2020-05-11 at 06:21
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 132.6, High risk area, High time risk
Assessment: Vehicles in SW8 3XC area have high theft risk due to 132.6 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.26,1.2
NW3 7BA,Camden,Vehicle Crime,2023-12-13,High,172.4,"Crime Data: Vehicle Crime in Camden (NW3 7BA)
Date: 2023-12-13 at 06:43
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, High time risk
Assessment: Vehicles in NW3 7BA area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",63.24,1.2
HA9 3WQ,Brent,Vehicle Crime,2024-06-16,Medium,90.5,"Crime Data: Vehicle Crime in Brent (HA9 3WQ)
Date: 2024-06-16 at 15:15
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 90.5, Medium risk area, High time risk
Assessment: Vehicles in HA9 3WQ area have medium theft risk due to 90.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",49.05,1.0
E3 1ZB,Tower Hamlets,Vehicle Crime,2023-05-06,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E3 1ZB)
Date: 2023-05-06 at 06:10
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E3 1ZB area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
E14 8LC,Tower Hamlets,Vehicle Crime,2023-03-08,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E14 8LC)
Date: 2023-03-08 at 03:24
Outcome: Under Investigation
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E14 8LC area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
W10 8HY,Kensington and Chelsea,Vehicle Crime,2021-05-22,High,145.7,"Crime Data: Vehicle Crime in Kensington and Chelsea (W10 8HY)
Date: 2021-05-22 at 13:38
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 145.7, High risk area, High time risk
Assessment: Vehicles in W10 8HY area have high theft risk due to 145.7 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.57,1.2
E1 8KN,Tower Hamlets,Vehicle Crime,2024-04-10,High,135.8,"Crime Data: Vehicle Crime in Tower Hamlets (E1 8KN)
Date: 2024-04-10 at 23:37
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 135.8, High risk area, High time risk
Assessment: Vehicles in E1 8KN area have high theft risk due to 135.8 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.58,1.2
NW5 8UN,Camden,Vehicle Crime,2020-09-17,High,172.4,"Crime Data: Vehicle Crime in Camden (NW5 8UN)
Date: 2020-09-17 at 16:49
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 172.4, High risk area, Medium time risk
Assessment: Vehicles in NW5 8UN area have high theft risk due to 172.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",53.24,1.2
EC1 5FM,City of London,Vehicle Crime,2020-10-25,Very High,1176.0,"Crime Data: Vehicle Crime in City of London (EC1 5FM)
Date: 2020-10-25 at 05:04
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 1176.0, Very High risk area, High time risk
Assessment: Vehicles in EC1 5FM area have very high theft risk due to 1176.0 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
EC4 2LU,City of London,Vehicle Crime,2023-11-21,Very High,1176.0,"Crime Data: Vehicle Crime in City of London (EC4 2LU)
Date: 2023-11-21 at 02:46
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 1176.0, Very High risk area, High time risk
Assessment: Vehicles in EC4 2LU area have very high theft risk due to 1176.0 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
W5 2TB,Ealing,Vehicle Crime,2024-09-17,Medium,88.2,"Crime Data: Vehicle Crime in Ealing (W5 2TB)
Date: 2024-09-17 at 05:33
Outcome: Under Investigation
Risk Factors: Borough crime rate 88.2, Medium risk area, High time risk
Assessment: Vehicles in W5 2TB area have medium theft risk due to 88.2 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.82,1.0
