crime_id,date,time,crime_type,borough,postcode,latitude,longitude,outcome,status,month,year,day_of_week,quarter,hour,deprivation_index,borough_crime_rate,distance_from_center,is_weekend,is_night,is_peak_crime_season,crime_severity_score,borough_risk_level,covid_period,postcode_area
MET202404188419,2024-12-21,17:17,Vehicle Crime,Redbridge,IG6 5YS,51.524978,0.092198,Investigation complete - no suspect identified,Unsolved,12,2024,Saturday,Q4,17,4,71.6,20.10968557752826,1,0,1,0.978,Low,Post-COVID,IG6
MET202000429540,2020-08-20,06:06,Vehicle Crime,Barnet,NW4 3NE,51.617267,-0.212853,Investigation complete - no suspect identified,Unsolved,8,2020,Thursday,Q3,6,2,68.5,17.97623039686187,0,1,0,0.978,Low,Initial Impact,NW4
MET202302811127,2023-07-15,00:08,Vehicle Crime,Kensington and Chelsea,SW3 1NS,51.499498,-0.121299,Investigation complete - no suspect identified,Unsolved,7,2023,Saturday,Q3,0,2,145.7,3.944000737297488,1,1,0,0.978,High,Post-COVID,SW3
MET202000581884,2020-11-10,07:06,Vehicle Crime,Enfield,EN2 9FK,51.663717,-0.005176,Investigation complete - no suspect identified,Unsolved,11,2020,Tuesday,Q4,7,5,76.4,19.08256404441157,0,0,1,0.978,Low,Initial Impact,EN2
MET202404071596,2024-11-07,04:35,Vehicle Crime,Merton,SW19 4XJ,51.457063,-0.20527,Evidential difficulties victim does not support action,Unsolved,11,2024,Thursday,Q4,4,3,73.1,14.381139810340064,0,1,1,0.978,Low,Post-COVID,SW19
MET202201942704,2022-07-26,15:28,Vehicle Crime,Bexley,DA6 4TK,51.449557,0.187895,Investigation complete - no suspect identified,Unsolved,7,2022,Tuesday,Q3,15,3,63.9,31.498470151379603,0,0,0,0.978,Low,Post-COVID,DA6
MET202202212278,2022-11-18,02:12,Vehicle Crime,Lambeth,SW2 2JT,51.473339,-0.095575,Investigation complete - no suspect identified,Unsolved,11,2022,Friday,Q4,2,7,132.6,4.513667763256443,0,1,1,0.978,High,Post-COVID,SW2
MET202303059784,2023-10-22,10:32,Vehicle Crime,Lambeth,SE24 2BN,51.491557,-0.10983,Evidential difficulties victim does not support action,Unsolved,10,2023,Sunday,Q4,10,7,132.6,3.3810927040274064,1,0,1,0.978,High,Post-COVID,SE24
MET202101283533,2021-10-10,03:28,Vehicle Crime,Waltham Forest,E4 4FP,51.604997,-0.038155,Evidential difficulties victim does not support action,Unsolved,10,2021,Sunday,Q4,3,6,86.7,11.607176341182829,1,1,1,0.978,Medium,Recovery,E4
MET202100774552,2021-02-15,15:11,Vehicle Crime,Redbridge,IG4 7DS,51.528044,0.089651,Evidential difficulties victim supports action,Unsolved,2,2021,Monday,Q1,15,4,71.6,19.85251857436679,0,0,1,0.978,Low,Recovery,IG4
MET202302424303,2023-02-13,05:45,Vehicle Crime,Hammersmith and Fulham,W14 4KH,51.500275,-0.303484,Charged/Summonsed,Solved,2,2023,Monday,Q1,5,4,125.3,23.896575153711865,0,1,1,0.978,High,Post-COVID,W14
MET202302671725,2023-05-21,01:38,Vehicle Crime,Merton,CR4 8GW,51.396575,-0.21828,Under Investigation,Pending,5,2023,Sunday,Q2,1,3,73.1,19.374185295155534,1,1,0,0.978,Low,Post-COVID,CR4
MET202403604856,2024-05-16,00:59,Vehicle Crime,Ealing,W3 2FS,51.51374,-0.329207,Under Investigation,Pending,5,2024,Thursday,Q2,0,4,88.2,26.70740366504631,0,1,0,0.978,Medium,Post-COVID,W3
MET202101435321,2021-12-20,16:42,Vehicle Crime,City of London,EC1 7CP,51.520312,-0.092998,Investigation complete - no suspect identified,Unsolved,12,2021,Monday,Q4,16,2,1176.0,0.9093748960181202,0,0,1,0.978,Very High,Recovery,EC1
MET202101343833,2021-11-08,08:53,Vehicle Crime,Newham,E12 1ZX,51.477236,0.0329,Under Investigation,Pending,11,2021,Monday,Q4,8,8,128.9,14.07123008139713,0,0,1,0.978,High,Recovery,E12
MET202302995452,2023-09-26,01:51,Vehicle Crime,Tower Hamlets,E14 5CQ,51.537622,-0.014036,Investigation complete - no suspect identified,Unsolved,9,2023,Tuesday,Q3,1,9,135.8,8.702354254854317,0,1,0,0.978,High,Post-COVID,E14
MET202303107340,2023-11-09,06:04,Vehicle Crime,Ealing,UB2 6PM,51.484048,-0.280295,Under Investigation,Pending,11,2023,Thursday,Q4,6,4,88.2,21.526134994424943,0,1,1,0.978,Medium,Post-COVID,UB2
MET202202045100,2022-09-08,00:35,Vehicle Crime,Lambeth,SE24 8SQ,51.43197,-0.04895,Investigation complete - no suspect identified,Unsolved,9,2022,Thursday,Q3,0,7,132.6,10.053296043357864,0,1,0,0.978,High,Post-COVID,SE24
MET202100941694,2021-05-04,22:23,Vehicle Crime,Brent,HA9 2GL,51.549367,-0.280766,Investigation complete - no suspect identified,Unsolved,5,2021,Tuesday,Q2,22,5,90.5,21.700825515704334,0,1,0,0.978,Medium,Recovery,HA9
MET202100816352,2021-03-06,03:56,Vehicle Crime,Greenwich,SE18 7WL,51.46827,-0.04906,Evidential difficulties victim supports action,Unsolved,3,2021,Saturday,Q1,3,5,95.4,6.660118861439364,1,1,0,0.978,Medium,Recovery,SE18
MET202100808760,2021-03-03,05:04,Vehicle Crime,Newham,E7 4JA,51.469919,0.101526,Investigation complete - no suspect identified,Unsolved,3,2021,Wednesday,Q1,5,8,128.9,21.648840042207272,0,1,0,0.978,High,Recovery,E7
MET202101338564,2021-11-05,04:03,Vehicle Crime,Islington,N7 2SY,51.562235,-0.066476,Investigation complete - no suspect identified,Unsolved,11,2021,Friday,Q4,4,6,138.2,5.951016946113141,0,1,1,0.978,High,Recovery,N7
MET202201779730,2022-05-17,00:33,Vehicle Crime,Westminster,W2 1NR,51.504552,-0.162205,Investigation complete - no suspect identified,Unsolved,5,2022,Tuesday,Q2,0,3,349.9,8.22897369860963,0,1,0,0.978,Very High,Post-COVID,W2
MET202202184969,2022-11-06,13:32,Vehicle Crime,Tower Hamlets,E14 1UQ,51.475872,-0.036238,Evidential difficulties victim does not support action,Unsolved,11,2022,Sunday,Q4,13,9,135.8,7.150786642795538,1,0,1,0.978,High,Post-COVID,E14
MET202302878927,2023-08-11,01:48,Vehicle Crime,Camden,NW3 8LE,51.486369,-0.117187,Investigation complete - no suspect identified,Unsolved,8,2023,Friday,Q3,1,4,172.4,4.367101045444893,0,1,0,0.978,High,Post-COVID,NW3
MET202404038204,2024-10-25,04:48,Vehicle Crime,Hammersmith and Fulham,W14 8JW,51.501678,-0.239824,Investigation complete - no suspect identified,Unsolved,10,2024,Friday,Q4,4,4,125.3,16.836216936433782,0,1,1,0.978,High,Post-COVID,W14
MET202000049687,2020-01-27,17:16,Vehicle Crime,Croydon,CR4 4KU,51.36071,-0.178252,Investigation complete - no suspect identified,Unsolved,1,2020,Monday,Q1,17,5,79.8,19.65412190026517,0,0,1,0.978,Low,Initial Impact,CR4
MET202000209243,2020-04-23,04:24,Vehicle Crime,Hammersmith and Fulham,W12 5QZ,51.472823,-0.198803,Evidential difficulties victim supports action,Unsolved,4,2020,Thursday,Q2,4,4,125.3,13.035386567888848,0,1,0,0.978,High,Initial Impact,W12
MET202000000258,2020-01-01,17:48,Vehicle Crime,Hammersmith and Fulham,W12 2FF,51.550678,-0.273358,Evidential difficulties victim does not support action,Unsolved,1,2020,Wednesday,Q1,17,4,125.3,20.921414700139387,0,0,1,0.978,High,Initial Impact,W12
MET202403253929,2024-01-06,03:55,Vehicle Crime,Westminster,W2 9YR,51.486182,-0.109452,Under Investigation,Pending,1,2024,Saturday,Q1,3,3,349.9,3.80590079986151,1,1,1,0.978,Very High,Post-COVID,W2
MET202000078310,2020-02-12,02:23,Vehicle Crime,Barking and Dagenham,IG11 8VS,51.584868,0.168784,Evidential difficulties victim supports action,Unsolved,2,2020,Wednesday,Q1,2,8,82.3,29.650549395788357,0,1,1,0.978,Medium,Initial Impact,IG11
MET202000448792,2020-08-30,00:16,Vehicle Crime,Southwark,SE17 3ZC,51.481205,-0.139309,Investigation complete - no suspect identified,Unsolved,8,2020,Sunday,Q3,0,7,130.4,6.667322627458609,1,1,0,0.978,High,Initial Impact,SE17
MET202303129973,2023-11-18,06:40,Vehicle Crime,Waltham Forest,E10 4CR,51.582867,0.040588,Under Investigation,Pending,11,2023,Saturday,Q4,6,6,86.7,16.281548498161907,1,1,1,0.978,Medium,Post-COVID,E10
MET202201719328,2022-04-22,00:45,Vehicle Crime,Hillingdon,HA5 7BB,51.572571,-0.451559,Investigation complete - no suspect identified,Unsolved,4,2022,Friday,Q2,0,3,70.2,40.820307412389376,0,1,0,0.978,Low,Post-COVID,HA5
MET202000637317,2020-12-10,06:18,Vehicle Crime,Bromley,BR1 6CP,51.348156,-0.004227,Investigation complete - no suspect identified,Unsolved,12,2020,Thursday,Q4,6,2,65.4,20.594727937397987,0,1,1,0.978,Low,Initial Impact,BR1
MET202101057901,2021-06-27,03:04,Vehicle Crime,Newham,E6 7TL,51.542671,0.047337,Evidential difficulties victim supports action,Unsolved,6,2021,Sunday,Q2,3,8,128.9,15.434852107830867,1,1,0,0.978,High,Recovery,E6
MET202101255321,2021-09-27,07:18,Vehicle Crime,Haringey,N17 9VN,51.610923,-0.123795,Evidential difficulties victim supports action,Unsolved,9,2021,Monday,Q3,7,7,85.9,11.508416381450576,0,0,0,0.978,Medium,Recovery,N17
MET202302635109,2023-05-07,05:37,Vehicle Crime,Hackney,E8 1HE,51.553878,-0.017951,Investigation complete - no suspect identified,Unsolved,5,2023,Sunday,Q2,5,8,140.1,9.037983506783204,1,1,0,0.978,High,Post-COVID,E8
MET202403264841,2024-01-10,04:42,Vehicle Crime,Westminster,W2 1RL,51.494573,-0.159593,Charged/Summonsed,Solved,1,2024,Wednesday,Q1,4,3,349.9,8.152617127704177,0,1,1,0.978,Very High,Post-COVID,W2
MET202000243503,2020-05-11,06:21,Vehicle Crime,Lambeth,SW8 3XC,51.445421,-0.160777,Evidential difficulties victim supports action,Unsolved,5,2020,Monday,Q2,6,7,132.6,11.005617125366484,0,1,0,0.978,High,Initial Impact,SW8
MET202303193693,2023-12-13,06:43,Vehicle Crime,Camden,NW3 7BA,51.527616,-0.119911,Investigation complete - no suspect identified,Unsolved,12,2023,Wednesday,Q4,6,4,172.4,3.816969279155734,0,1,1,0.978,High,Post-COVID,NW3
MET202403686634,2024-06-16,15:15,Vehicle Crime,Brent,HA9 3WQ,51.550482,-0.306791,Investigation complete - no suspect identified,Unsolved,6,2024,Sunday,Q2,15,5,90.5,24.566481082011105,1,0,0,0.978,Medium,Post-COVID,HA9
MET202302633501,2023-05-06,06:10,Vehicle Crime,Tower Hamlets,E3 1ZB,51.530095,-0.019924,Investigation complete - no suspect identified,Unsolved,5,2023,Saturday,Q2,6,9,135.8,7.845050939816983,1,1,0,0.978,High,Post-COVID,E3
MET202302482450,2023-03-08,03:24,Vehicle Crime,Tower Hamlets,E14 8LC,51.481902,-0.063969,Under Investigation,Pending,3,2023,Wednesday,Q1,3,9,135.8,4.438348796902326,0,1,0,0.978,High,Post-COVID,E14
MET202100980030,2021-05-22,13:38,Vehicle Crime,Kensington and Chelsea,W10 8HY,51.457974,-0.177202,Investigation complete - no suspect identified,Unsolved,5,2021,Saturday,Q2,13,2,145.7,11.600618379960444,1,0,0,0.978,High,Recovery,W10
MET202403508582,2024-04-10,23:37,Vehicle Crime,Tower Hamlets,E1 8KN,51.539392,-0.052082,Evidential difficulties victim supports action,Unsolved,4,2024,Wednesday,Q2,23,9,135.8,4.975411268282193,0,1,0,0.978,High,Post-COVID,E1
MET202000481710,2020-09-17,16:49,Vehicle Crime,Camden,NW5 8UN,51.535998,-0.135384,Investigation complete - no suspect identified,Unsolved,9,2020,Thursday,Q3,16,4,172.4,5.767101391120256,0,0,0,0.978,High,Initial Impact,NW5
MET202000552847,2020-10-25,05:04,Vehicle Crime,City of London,EC1 5FM,51.507803,-0.110083,Evidential difficulties victim does not support action,Unsolved,10,2020,Sunday,Q4,5,2,1176.0,2.464214244958673,1,1,1,0.978,Very High,Initial Impact,EC1
MET202303136240,2023-11-21,02:46,Vehicle Crime,City of London,EC4 2LU,51.505647,-0.103108,Investigation complete - no suspect identified,Unsolved,11,2023,Tuesday,Q4,2,2,1176.0,1.8259114464923645,0,1,1,0.978,Very High,Post-COVID,EC4
MET202403936651,2024-09-17,05:33,Vehicle Crime,Ealing,W5 2TB,51.505729,-0.320596,Under Investigation,Pending,9,2024,Tuesday,Q3,5,4,88.2,25.76562935995346,0,1,0,0.978,Medium,Post-COVID,W5
MET202302767701,2023-06-28,02:11,Vehicle Crime,Kensington and Chelsea,W10 6PY,51.523177,-0.145808,Investigation complete - no suspect identified,Unsolved,6,2023,Wednesday,Q2,2,2,145.7,6.44215636714547,0,1,0,0.978,High,Post-COVID,W10
MET202201502510,2022-01-19,00:20,Vehicle Crime,Barnet,NW7 9CX,51.610902,-0.198704,Investigation complete - no suspect identified,Unsolved,1,2022,Wednesday,Q1,0,2,68.5,16.32474959174669,0,1,1,0.978,Low,Post-COVID,NW7
MET202100694743,2021-01-09,01:17,Vehicle Crime,Lambeth,SW2 2WN,51.473708,-0.130394,Investigation complete - no suspect identified,Unsolved,1,2021,Saturday,Q1,1,7,132.6,6.39787024323683,1,1,1,0.978,High,Recovery,SW2
MET202303043356,2023-10-15,05:39,Vehicle Crime,Westminster,W2 1KU,51.486223,-0.123606,Investigation complete - no suspect identified,Unsolved,10,2023,Sunday,Q4,5,3,349.9,4.919203125117058,1,1,1,0.978,Very High,Post-COVID,W2
MET202201568847,2022-02-16,03:44,Vehicle Crime,Wandsworth,SW15 1BA,51.445197,-0.103383,Investigation complete - no suspect identified,Unsolved,2,2022,Wednesday,Q1,3,3,98.7,7.7463259276674385,0,1,1,0.978,Medium,Post-COVID,SW15
MET202100968720,2021-05-16,00:59,Vehicle Crime,Westminster,W1 4VV,51.492569,-0.167104,Investigation complete - no suspect identified,Unsolved,5,2021,Sunday,Q2,0,3,349.9,9.015502120082605,1,1,0,0.978,Very High,Recovery,W1
MET202201846348,2022-06-15,07:54,Vehicle Crime,Tower Hamlets,E1 5GH,51.561209,-0.015194,Evidential difficulties victim supports action,Unsolved,6,2022,Wednesday,Q2,7,9,135.8,9.723841584824283,0,0,0,0.978,High,Post-COVID,E1
MET202201995201,2022-08-17,00:47,Vehicle Crime,Bromley,BR6 1PC,51.417965,-0.021342,Evidential difficulties victim does not support action,Unsolved,8,2022,Wednesday,Q3,0,2,65.4,12.959685097958856,0,1,0,0.978,Low,Post-COVID,BR6
MET202201641055,2022-03-19,03:08,Vehicle Crime,Barnet,N11 7JM,51.666693,-0.194019,Evidential difficulties victim does not support action,Unsolved,3,2022,Saturday,Q1,3,2,68.5,20.65074661702644,1,1,0,0.978,Low,Post-COVID,N11
MET202000616109,2020-11-28,05:59,Vehicle Crime,Southwark,SE22 1MP,51.541514,-0.1164,Investigation complete - no suspect identified,Unsolved,11,2020,Saturday,Q4,5,7,130.4,4.388694911669928,1,1,1,0.978,High,Initial Impact,SE22
MET202000628312,2020-12-05,05:46,Vehicle Crime,Westminster,W2 8CX,51.478952,-0.068106,Investigation complete - no suspect identified,Unsolved,12,2020,Saturday,Q4,5,3,349.9,4.449243255379273,1,1,1,0.978,Very High,Initial Impact,W2
MET202000129897,2020-03-11,01:43,Vehicle Crime,Enfield,N14 5VG,51.669522,-0.047719,Evidential difficulties victim supports action,Unsolved,3,2020,Wednesday,Q1,1,5,76.4,17.91380956383812,0,1,0,0.978,Low,Initial Impact,N14
MET202201817532,2022-06-03,18:49,Vehicle Crime,Waltham Forest,E4 5EE,51.563328,-0.022822,Evidential difficulties victim does not support action,Unsolved,6,2022,Friday,Q2,18,6,86.7,9.16644322058614,0,0,0,0.978,Medium,Post-COVID,E4
MET202403600823,2024-05-15,01:32,Vehicle Crime,Lambeth,SW9 9DL,51.471671,-0.068341,Investigation complete - no suspect identified,Unsolved,5,2024,Wednesday,Q2,1,7,132.6,5.148936364683339,0,1,0,0.978,High,Post-COVID,SW9
MET202403987491,2024-10-06,04:16,Vehicle Crime,Ealing,W5 6PQ,51.555566,-0.300715,Charged/Summonsed,Solved,10,2024,Sunday,Q4,4,4,88.2,24.00546492877617,1,1,1,0.978,Medium,Post-COVID,W5
MET202000673311,2020-12-29,17:44,Vehicle Crime,Newham,E6 6PZ,51.540755,0.058702,Investigation complete - no suspect identified,Unsolved,12,2020,Tuesday,Q4,17,8,128.9,16.630072910138097,0,0,1,0.978,High,Initial Impact,E6
MET202101106344,2021-07-20,17:45,Vehicle Crime,Lambeth,SW8 4RR,51.466895,-0.116421,Under Investigation,Pending,7,2021,Tuesday,Q3,17,7,132.6,6.015260999838801,0,0,0,0.978,High,Recovery,SW8
MET202100710600,2021-01-16,01:06,Vehicle Crime,Harrow,HA1 6QG,51.583044,-0.366264,Investigation complete - no suspect identified,Unsolved,1,2021,Saturday,Q1,1,3,66.8,31.77540208919281,1,1,1,0.978,Low,Recovery,HA1
MET202101141504,2021-08-05,00:15,Vehicle Crime,Haringey,N17 1QZ,51.577103,-0.120173,Investigation complete - no suspect identified,Unsolved,8,2021,Thursday,Q3,0,7,85.9,7.891878729092586,0,1,0,0.978,Medium,Recovery,N17
MET202101384611,2021-11-27,05:01,Vehicle Crime,Kensington and Chelsea,SW7 3BS,51.526543,-0.232373,Investigation complete - no suspect identified,Unsolved,11,2021,Saturday,Q4,5,2,145.7,16.025345663134313,1,1,1,0.978,High,Recovery,SW7
MET202202212006,2022-11-18,01:24,Vehicle Crime,Camden,NW5 7FJ,51.544882,-0.113943,Investigation complete - no suspect identified,Unsolved,11,2022,Friday,Q4,1,4,172.4,4.486081132941769,0,1,1,0.978,High,Post-COVID,NW5
MET202101035910,2021-06-17,22:40,Vehicle Crime,Croydon,CR2 8DF,51.373659,-0.086736,Evidential difficulties victim supports action,Unsolved,6,2021,Thursday,Q2,22,5,79.8,15.5126308810013,0,1,0,0.978,Low,Recovery,CR2
MET202403961519,2024-09-27,01:48,Vehicle Crime,Merton,SW19 4DC,51.431939,-0.242041,Evidential difficulties victim supports action,Unsolved,9,2024,Friday,Q3,1,3,73.1,19.28336618071743,0,1,0,0.978,Low,Post-COVID,SW19
MET202100717982,2021-01-19,16:50,Vehicle Crime,Bromley,BR6 3SP,51.411687,0.105205,Evidential difficulties victim does not support action,Unsolved,1,2021,Tuesday,Q1,16,2,65.4,24.2950354312659,0,0,1,0.978,Low,Recovery,BR6
MET202202096750,2022-09-30,02:44,Vehicle Crime,Barnet,EN5 2PJ,51.65886,-0.201037,Charged/Summonsed,Solved,9,2022,Friday,Q3,2,2,68.5,20.40731017308868,0,1,0,0.978,Low,Post-COVID,EN5
MET202202198224,2022-11-12,11:42,Vehicle Crime,Lewisham,SE14 5RL,51.42966,-0.004962,Evidential difficulties victim supports action,Unsolved,11,2022,Saturday,Q4,11,6,92.8,13.137309628562525,1,0,1,0.978,Medium,Post-COVID,SE14
MET202302985934,2023-09-23,23:31,Vehicle Crime,Wandsworth,SW11 2WC,51.4608,-0.197762,Investigation complete - no suspect identified,Unsolved,9,2023,Saturday,Q3,23,3,98.7,13.450297496647488,1,1,0,0.978,Medium,Post-COVID,SW11
MET202100934107,2021-04-30,05:00,Vehicle Crime,Islington,N1 4BT,51.547784,-0.159413,Investigation complete - no suspect identified,Unsolved,4,2021,Friday,Q2,5,6,138.2,8.737850924365064,0,1,0,0.978,High,Recovery,N1
MET202000627287,2020-12-05,01:20,Vehicle Crime,Greenwich,SE10 4TB,51.464071,-0.000938,Evidential difficulties victim supports action,Unsolved,12,2020,Saturday,Q4,1,5,95.4,11.165284961508382,1,1,1,0.978,Medium,Initial Impact,SE10
MET202201920067,2022-07-16,21:31,Vehicle Crime,Barnet,N12 5CS,51.580869,-0.201597,Investigation complete - no suspect identified,Unsolved,7,2022,Saturday,Q3,21,2,68.5,14.608370894058462,1,0,0,0.978,Low,Post-COVID,N12
MET202000241316,2020-05-10,07:24,Vehicle Crime,Newham,E7 2MM,51.542181,0.105733,Investigation complete - no suspect identified,Unsolved,5,2020,Sunday,Q2,7,8,128.9,21.80624899731385,1,0,0,0.978,High,Initial Impact,E7
MET202201628184,2022-03-14,05:26,Vehicle Crime,City of London,EC1 8WX,51.495877,-0.030484,Investigation complete - no suspect identified,Unsolved,3,2022,Monday,Q1,5,2,1176.0,6.737731987856429,0,1,0,0.978,Very High,Post-COVID,EC1
MET202000454083,2020-09-02,22:03,Vehicle Crime,Kensington and Chelsea,SW3 7RH,51.487707,-0.217549,Investigation complete - no suspect identified,Unsolved,9,2020,Wednesday,Q3,22,2,145.7,14.594695547590158,0,1,0,0.978,High,Initial Impact,SW3
MET202201637814,2022-03-18,11:39,Vehicle Crime,Redbridge,IG1 8PS,51.538711,0.032413,Evidential difficulties victim supports action,Unsolved,3,2022,Friday,Q1,11,4,71.6,13.723116745028852,0,0,0,0.978,Low,Post-COVID,IG1
MET202201765132,2022-05-11,03:34,Vehicle Crime,Lewisham,SE4 8QE,51.394772,0.049786,Investigation complete - no suspect identified,Unsolved,5,2022,Wednesday,Q2,3,6,92.8,20.2322545409295,0,1,0,0.978,Medium,Post-COVID,SE4
MET202302830869,2023-07-23,03:10,Vehicle Crime,Enfield,N14 3UF,51.682352,-0.122666,Under Investigation,Pending,7,2023,Sunday,Q3,3,5,76.4,19.13109092032857,1,1,0,0.978,Low,Post-COVID,N14
MET202000347177,2020-07-06,21:09,Vehicle Crime,Islington,N4 5UH,51.607872,-0.144734,Investigation complete - no suspect identified,Unsolved,7,2020,Monday,Q3,21,6,138.2,12.197877191607873,0,0,0,0.978,High,Initial Impact,N4
MET202101151592,2021-08-10,04:16,Vehicle Crime,Southwark,SE16 1QF,51.580808,-0.139472,Investigation complete - no suspect identified,Unsolved,8,2021,Tuesday,Q3,4,7,130.4,9.37394759992868,0,1,0,0.978,High,Recovery,SE16
MET202302622901,2023-05-02,23:44,Vehicle Crime,Barnet,NW7 2BD,51.602806,-0.217818,Under Investigation,Pending,5,2023,Tuesday,Q2,23,2,68.5,17.441743457566634,0,1,0,0.978,Low,Post-COVID,NW7
MET202000550035,2020-10-24,03:03,Vehicle Crime,Westminster,W1 3EF,51.48578,-0.134963,Investigation complete - no suspect identified,Unsolved,10,2020,Saturday,Q4,3,3,349.9,5.990290803813136,1,1,1,0.978,Very High,Initial Impact,W1
MET202302515399,2023-03-21,06:47,Vehicle Crime,Hammersmith and Fulham,W6 8PH,51.490197,-0.242215,Investigation complete - no suspect identified,Unsolved,3,2023,Tuesday,Q1,6,4,125.3,17.244680580814226,0,1,0,0.978,High,Post-COVID,W6
MET202201995861,2022-08-18,08:32,Vehicle Crime,Enfield,N14 3KK,51.676229,-0.15233,Investigation complete - no suspect identified,Unsolved,8,2022,Thursday,Q3,8,5,76.4,19.40907167417518,0,0,0,0.978,Low,Post-COVID,N14
MET202403559978,2024-04-29,03:05,Vehicle Crime,Greenwich,SE18 7FR,51.454578,0.022743,Investigation complete - no suspect identified,Unsolved,4,2024,Monday,Q2,3,5,95.4,13.97775684843215,0,1,0,0.978,Medium,Post-COVID,SE18
MET202302937063,2023-09-03,07:58,Vehicle Crime,Greenwich,SE8 6QB,51.49413,-0.028,Evidential difficulties victim supports action,Unsolved,9,2023,Sunday,Q3,7,5,95.4,7.058494189336662,1,0,0,0.978,Medium,Post-COVID,SE8
