token_id,contract_address,owner_wallet_address,make,model,year,vin,registration_number,category,current_value,original_value,postcode,area,area_risk_level,mint_date,mint_transaction_hash,last_transfer_date,last_transfer_hash,metadata_ipfs_hash,blockchain,token_standard,insurance_risk_score,monthly_premium_estimate,coverage_recommended,ownership_verified,vin_verified,dvla_verified,mileage,fuel_type,transmission,color,doors,total_transfers,policy_count,claims_count,last_valuation_date,created_at,updated_at
11,0xfac8f46f92471eee67d8203daf806b7216a93c26,0xa4f5d942318d608a091250e994c5d39ef5cf0359,Jaguar,F-Type,2007,SAJ072047328152,CD07 SEE,luxury,6688,30000,SE1 4FF,Southwark,medium,2024-11-09,0x06481c8c7f452142a32b8fbf0c14024cddd959f01866f9313febcf64949174cd,2023-05-16,0x7a2d1536fcc41906230dec9e791f589de7b97cf38a67977e75c9aac0acd0de7e,QmujzbCw3NFL9ToKSjWa4QkYKSEF9X8gTs2Ck5uYhipYc2,BlockDAG,ERC-721,78.86880000000001,1,standard,True,True,False,27310,Hybrid,Automatic,White,2,5,0,1,2023-03-01,2024-11-09,2023-05-16
12,0x6c5b90ce802b126ef4e0c42bdb254be2fa5f725e,0xdf61a6ca5bb6a98f6c608859c89413514949533e,Ferrari,250GT,2002,ZFF027386662111,EF02 WPX,supercar,17631,120000,N1 8UC,Islington,medium,2020-01-02,0xfdec5ce2e54ae2cd588c5c4c332bd45e883e61fb5a714f00c641df61d7cf2350,2023-11-10,0x7d268a8662d8090e2f92f1e72378e1192459c6f7520aa41dde45bcdaf72f7f9f,QmYDm6UZFuMxQ3mzvA43TS4WdynZMyPksUzgcYsBsgRcLm,BlockDAG,ERC-721,93.2631,5,standard,True,True,True,117015,Diesel,Manual,Black,5,1,0,0,2024-03-30,2020-01-02,2023-11-10
13,0x53092a17170c4bbe89f0ed4a8022533fe0762d79,0xf401d9813dfd3c5ef1f46b8b97dd4677fd0ffe1d,Toyota,Corolla,2010,WBA103605985743,CD10 YRZ,standard,2862,10000,SW3 6OU,Chelsea,high,2021-02-21,0xea55700d8f28ba9d01ccaceb3930e4406729258faa855a981d5a70426fc9eb23,2024-12-05,0x1c14f54275c0024147c4a958d6c1690df9e7ac0d66d6d4a01557d0f6aea9ff51,Qm3cQeCGyPnThBCXWTCvNAiFCJaGjPqDK6FUZ1tP49e2LU,BlockDAG,ERC-721,52.7862,0,standard,True,False,False,6304,Diesel,Automatic,Black,2,5,1,0,2023-10-02,2021-02-21,2024-12-05
14,0x92b457e475366896ca197c21f216d3e5e1f460c6,0xa9d03c9c2365019647b94b19022bd52ab6e4551b,Audi,A8,2013,WAU135771690263,AB13 EOR,premium,18383,50000,E1 2PP,Tower Hamlets,high,2023-06-30,0xb7659b7a7f6175d4109ca8dd2c24c0e892280b7eeb9b65a3906cf937b6020e77,2024-10-12,0x4eccb553e3aa0dba76bdc67452de977bc087e719cc6ec70356e136acffef9da6,Qm26VQMKzT1guMTy2SZDZ1c7ZdcQQampuU97LznSVz8kzY,BlockDAG,ERC-721,67.8383,4,standard,True,True,True,124644,Hybrid,Automatic,Blue,3,3,1,0,2024-03-17,2023-06-30,2024-10-12
15,0xe697147224105cbf893b3f5acc71683e9b50732e,0xdad08927005c2ecf8a0537eb2e7c2a13f1016fea,Aston Martin,DB9,2018,SCFAB184256647749,EF18 JGF,luxury,41838,75000,SW3 6RX,Chelsea,high,2021-02-16,0x3b0111abe9c0db240dcba87943211159f79aae94fc8f49f415ed885c9d57c1d2,2023-03-29,0xee1a5b9c8b40026b9e9757ba68d91cf290de18a4938a6abd20441700dad64a80,QmAxHHSfQU3MGe4TZbjdHKCKcYmKsAcDSW7Dmw2Z3mWZ5b,BlockDAG,ERC-721,88.4838,14,comprehensive,True,True,True,108152,Diesel,Automatic,Blue,3,4,1,0,2023-11-22,2021-02-16,2023-03-29
16,0xbcb48dddc2f30f224ea16f2f3b235dabb31b214d,0x8751e4de27027110b1002b527f4ac1c58ae835d6,BMW,X5,2021,WBA210801291304,EF21 WVI,premium,21491,30000,EN1 6WR,Enfield,medium,2021-11-20,0xd757446700872bdc4820e613e2c75d4eb800803241b8d80612afdfe40a6d17e7,2023-06-09,0x93e6a79989745e35d78f52456a1a91621a187e7294e3b11bb65b260dd049f990,QmAMAZz5bAwxnkVsoTy7xESNrYSpt3z8xBRZPHn4KZd99j,BlockDAG,ERC-721,59.1491,3,standard,True,True,True,47959,Hybrid,Manual,Black,5,2,1,1,2024-12-16,2021-11-20,2023-06-09
17,0x92b457e474bcf73fbc5442254e8019e6f1962465,0xce745df96872ed146e5dedf695bf3def62c17517,Audi,Q7,2009,WAU096022049177,AB09 GZR,premium,9218,35000,W1 6AQ,Mayfair,high,2024-09-27,0xf8137170d23cf56c0a755752eee1fc3be608b7d0e803c8616fad16e0918ba88b,2023-05-11,0x0c21dda1b183da06c5cc3c93381a9351914206e394f26feee924ca810b9738ae,Qme5MefExEGtnGGB32u8qd1Fz8uQCGTGnB3yGxeijM6Xcp,BlockDAG,ERC-721,68.9218,2,standard,True,True,False,2037,Diesel,Manual,White,3,5,1,1,2024-10-04,2024-09-27,2023-05-11
18,0xbada04e2891be5f595f33b71b0756b56972b0c19,0xec0a0dc7c81d0e7a340f3db475d8e3a11052144c,Volkswagen,Polo,2017,WBA171322605036,AB17 EFI,standard,4105,8000,N1 8RQ,Islington,medium,2022-03-31,0xe1e98d4e1d58c2191cfe1e1b55e1b9520cb23f416e8ed35fe8b4680ddd727d9e,2024-09-29,0xaad159fd82841f44a81443792856ab9671cee859e49a0eda4c57d530c624171b,QmUyw2BjDw8dHj4D9eSsqLyX3EhHWfNT3Qb8ucfa7RUEXg,BlockDAG,ERC-721,44.4105,0,standard,True,True,False,118316,Hybrid,Manual,Red,5,3,2,0,2024-08-31,2022-03-31,2024-09-29
19,0x891b24e4e4558a5229ef62c043b6d8f9372d8617,0x6b733da326b4caca20d81306c51476d31233196c,McLaren,570S,2004,WBA047436914964,AB04 KGM,supercar,31247,180000,N1 3TH,Islington,medium,2023-04-19,0xa50e85c2c8aba87dcc10a71d9870a3902dc4dc8bca3c51d359898a51c64743a9,2023-06-10,0x5d48b25c476b0e32c840ec82b847dfbb464d3c8b6faf4e7eb50ae0eda4f10cd6,Qmv6wQURjfdLSq54cbmfjFrBpyzdTkVoBfdM6j9cA6JhGk,BlockDAG,ERC-721,93.6247,9,comprehensive,True,True,True,116881,Electric,Automatic,Blue,2,2,2,1,2024-12-04,2023-04-19,2023-06-10
20,0x891b24e4e2a384b415cf8db46ec2aff731caf7bd,0xcdfae81b9cec358105b9c8369739d9c4db706cb4,McLaren,720S,2000,WBA004209679650,CDC RIZ,supercar,27360,220000,E1 4XG,Tower Hamlets,high,2022-09-01,0xbf7fe88ab4fc007216100e4a18f2150bb95d3376e93f4a59892d4bc69c4b8518,2023-02-14,0x4ddc4d76392d4fda7d64c5b9a30609deaafb2e47a1977899ea91297b7ec3e029,QmfCspKrwLhQ94XLC9pV2hbtZ4vqENKt4PurE389XdUXT7,BlockDAG,ERC-721,95.0,10,standard,True,True,True,57250,Diesel,Manual,Grey,3,3,2,1,2024-12-26,2022-09-01,2023-02-14
21,0xa9cebc9306b597a7a46371463b689bb4f9378348,0x5a7ab05fa38ff7b1936c98445d53e3b2d801e387,Porsche,Cayenne,2001,WP0019597342138,AB01 KOP,sports,7434,55000,SE1 4GI,Southwark,medium,2022-02-13,0x3cd53a088560cbaacec494c7f2acf72db5c0b00da02e2f147014d63328c0fbf6,2023-05-15,0x67393b1cd32428c49d3f64a4f2b8a7f9793c132a127f64fa841ecf2bf2ffee18,Qm5rkFZVZTUnLWvBYPCGUnDQ2wcXRcBysb74dYz8gdP5qi,BlockDAG,ERC-721,77.7434,1,standard,False,True,True,3193,Diesel,Automatic,Red,4,2,1,0,2023-05-31,2022-02-13,2023-05-15
22,0xbcb48ddd39a51446fdb77d6791aa793478e6118b,0x9a64bc42b485bf2797647f26d41df4a319d39009,BMW,X5,2016,WBA163004873074,DE16 LAL,premium,14164,30000,W1 4OR,Mayfair,high,2024-09-07,0xc8cf77898d4376acdce716163f3df8191651c4a8ba8878f0a885d8bd9524e179,2024-12-25,0xe10bdfb6b0e8fdc8563cde7ae9eb02adbb29ef3ef51a351dfa856d59c993044d,QmrBwNtbRXcbZU6huW59WcUCt1QrwN7XDp1wgGJ43nuv2r,BlockDAG,ERC-721,65.9164,4,standard,True,True,False,136943,Hybrid,Manual,Red,4,4,2,1,2024-05-31,2024-09-07,2024-12-25
23,0x53092a173104420c84a4a20e0fc2c3fa0de21104,0x5129141e1386b636724331378b7bdd6028de2a0a,Toyota,Prius,2006,WBA064504725173,DE06 GCV,standard,2461,12000,EN1 5UA,Enfield,medium,2023-04-19,0x8b6c7d6435fbf37f9736de4d7f46dd98051d12c91a2be945bac1fdd61c582f03,2023-08-13,0x2b53c32becaf75c203aa5384fcdfeaf67329bbe62edbdc89c76204b16495ebf6,QmLRq6VBqm8TiRbVz7VTpaGecYp76oV86Y9EuMvwHaD3Vt,BlockDAG,ERC-721,49.7461,0,standard,True,True,False,17456,Petrol,Automatic,Grey,3,5,2,1,2023-08-31,2023-04-19,2023-08-13
24,0x891b24e4b46de70be5fc3a1416b2d67143b04432,0x5944d9f6c6aa3c83f6e3adc247da7b3bb40fcf2a,McLaren,P1,2007,WBA073380630478,DE07 XNM,supercar,178349,800000,SE1 5YR,Southwark,medium,2023-12-29,0xa153afcd3e030f69ee09cbbf750ef8ef482d1cc7785d4318488173a853789d51,2023-01-31,0x65d2b66b819bddab9d0aced417d1064e0a24f95ff38ada82e66568f2c2922f66,QmumcdCmSLSh3axKqqjhjNx8jtVTb282kziUdKwWuWSbD8,BlockDAG,ERC-721,93.5,55,comprehensive,True,True,False,85776,Hybrid,Manual,Silver,3,1,2,1,2023-01-05,2023-12-29,2023-01-31
25,0xc57be7f58315e2674ce08540977815e0627e8de3,0x3d37080d746709f03e549c9efd1c39e6d13766f6,Mercedes,AMG GT,2005,WDD053819347871,BC05 JCU,luxury,16982,90000,SW3 7VC,Chelsea,high,2023-02-15,0xcc3895b60c9ca2d3264f60cc681541845f36d865762731be92014571ea10dc05,2024-07-30,0xfb4faf54a05a34652033989977b78533bfb4599d984e751500d8fcc9a3c54313,QmszURtkcdGo8A9vhC1ut35po5vGzcdywJrGVxux7woKmL,BlockDAG,ERC-721,84.6982,5,standard,False,True,True,54367,Hybrid,Automatic,White,5,3,2,1,2024-09-21,2023-02-15,2024-07-30
26,0xbada04e2fbec4b9150476da52b0e5704489ff684,0xad6135fd5ab46c46b07a2c32a0c0faa48d8a4593,Volkswagen,Passat,2021,WBA211720938413,DE21 EQE,standard,10745,15000,N1 6WG,Islington,medium,2023-02-18,0xf888eb63ce4a752c0f25a323283d15b6f05dc324a2906751be2b17209a8d4d36,2024-01-15,0x6d10387572b425d93a7c95bc9084bb7fa7cc02959040ca49e5c1655357a1786c,QmVriTcH9JN8TxXCFATYd8GPPGnEfJtsGRT559Nwk41nWC,BlockDAG,ERC-721,43.0745,1,standard,False,True,True,71022,Hybrid,Manual,White,5,5,2,1,2023-04-13,2023-02-18,2024-01-15
27,0xbcb48ddddcbd8cc8086ec13ac864683041c38685,0x5b4cb1a9811c58b80d4abe5c60967bcad254205f,BMW,i8,2015,WBA152345095807,AB15 WLR,premium,34751,80000,W1 5KJ,Mayfair,high,2020-12-29,0xcccd516c6fcef76d42f97e0a872b97bd8b88dcbdcd7f344a115647359f699ac4,2023-12-10,0x3d4039c1099a9c458ecc1802a9ccc40e82e2c7f9a8e967c57cb34fc8dc575d46,QmCVbAHKrTS2GsNbWu1YNGyUrixrqwEuHYpoedZTRZsJfU,BlockDAG,ERC-721,68.4751,10,comprehensive,False,False,True,98285,Diesel,Automatic,Grey,5,3,1,0,2023-05-10,2020-12-29,2023-12-10
28,0xfac8f46ff7b43be5e430a155d5488fb843e0961a,0x2e69b078a485351e0457be630e47bc0f8879851f,Jaguar,F-Type,2002,SAJ027571104595,DE02 NVH,luxury,4407,30000,SW3 6JM,Chelsea,high,2022-01-21,0xe35fc327b96e506cadb439aa2e8a77af97ab5403de48c34e9f2855b34cd33b61,2023-04-24,0x7241a5ddfcefdacb0af3d129bc79acf7d60c9c85952306d5006bfc50c156f221,QmipgAV51s6fvd95JTEK6ijpfou8w1kukxDT9igG3e2LxL,BlockDAG,ERC-721,83.14070000000001,1,standard,True,False,True,98335,Hybrid,Automatic,Grey,3,5,1,1,2023-12-24,2022-01-21,2023-04-24
29,0xfac8f46ff2ee0e63389489e127dbd21016ea79ee,0x9008b11c0a74c37fc39efe1fa1efec5fa9e98b79,Jaguar,E-Type,2017,SAJ173778951750,AB17 YUN,luxury,30793,60000,CR0 4KZ,Croydon,medium,2024-08-18,0xe9e09307ff35c0ee7b17844afbcd7feaa04aae427c222aff583e56b43d7127fc,2023-01-13,0x23495057bb114060c9db3ed042a80bad38929deba1c9de9b65702e1609056cbd,Qm6vMUSoSjx5SNF11Z8dk3qHPjtcXZ9GrosgUZ4hJTbBT8,BlockDAG,ERC-721,82.2793,8,comprehensive,True,True,True,40927,Electric,Manual,Black,2,5,2,1,2024-11-10,2024-08-18,2023-01-13
30,0x53092a176c8b8b0d32606d58789d97ec3c5b3611,0x3c06e0a6ccd7c4d7002dd5eab83b67f0b0fa075f,Toyota,Corolla,2015,WBA156532147617,BC15 ZZE,standard,4343,10000,W1 6CM,Mayfair,high,2022-01-08,0xe7dad96d25b6a2db3672dd9dc10c638d7f13270a1107d8654065b859110ff5f6,2024-04-03,0x05faaa3bbda2cb7de942e870458118cbbfa25474a485046e3131119cd2d5836d,QmHe1pBevWFKd4byeFLdd6PHJ914yP2tJN8zfXUJz3NXiH,BlockDAG,ERC-721,50.4343,0,standard,True,True,True,48553,Petrol,Automatic,Black,5,4,0,1,2024-02-05,2022-01-08,2024-04-03
31,0xbada04e2b9233d4fda34e6f805a375f2a3d32ac8,0x95fbd1fa96fae737ba6fc3be4f08a94570ffeef4,Volkswagen,Passat,2023,WBA236626929279,AB23 QKD,standard,12696,15000,EN1 1DE,Enfield,medium,2023-05-08,0xab0d10464be8010a275d9d449bcb077a0be8fc669cb07bcf74cdf960f242af3c,2024-03-02,0xc8c2c40ed0f5396ac5801b70b46fdd3945ecf0d588f5b379d4cf1ff1e1cfcb7b,QmShkS7LhTvNbUieo96Yz5nRw4PkUrEsCba8wdRWGCdgJf,BlockDAG,ERC-721,42.2696,1,standard,True,True,False,13127,Petrol,Manual,White,2,4,2,1,2023-11-01,2023-05-08,2024-03-02
32,0xc57be7f5468b89c5dfbe63b089d04e99e98bcb43,0x0b995c004ba3e0fb54316f5f26be78662de29a74,Mercedes,SL,2006,WDD066415734121,CD06 VJM,luxury,7178,35000,SE1 7KB,Southwark,medium,2024-05-26,0x7588d6202942f932e3a5d49538ff02c77cdfd1bf9dd22f5d17ab90d273780049,2024-01-13,0xdb663e230fac9e05ae344021fe0bcf654dfdb997976c37d833293ac17fb4c434,QmcnWTM7q4V4KHhrJgy6qNy23esWtzktk3bKTe9n8nAUeV,BlockDAG,ERC-721,78.81779999999999,1,standard,True,True,False,22072,Diesel,Automatic,White,5,2,2,0,2023-08-18,2024-05-26,2024-01-13
33,0xfac8f46f7622ce66d9248689c6f2db19522493ed,0x82170f2170a13e1548704122e30192d9bd158a0d,Jaguar,XK,2002,SAJ023538247159,BC02 RDK,luxury,3673,25000,N1 2UQ,Islington,medium,2020-09-23,0x165b7effab4eda8a4ce3a703bbf799cfefe694fd71f9150ceb901d7404f0755e,2024-01-23,0xae2fd1b66263e2732efe0117d3baf9d651163c9e3d50be47b70f257ed0851f1b,QmYhFkaA22YcLisVB8WJEVX97ZTRMxk356r97qDzvSPv1s,BlockDAG,ERC-721,78.0673,0,standard,True,False,False,4421,Petrol,Automatic,White,3,4,2,0,2023-10-18,2020-09-23,2024-01-23
34,0x891b24e469a9fcdf7e8d48fb3ea0b2a47b8f224b,0x8e69d90ac9159b3888be4ae8fcbd4fe574ee9928,McLaren,570S,2001,WBA011352044040,EF01 PWE,supercar,24332,180000,EN1 4ZT,Enfield,medium,2023-09-02,0x22cb76a7a17a6deaeb446c785e6bf7a8eb914027c0a167b505c282dd99f9d41b,2024-05-06,0x08cd2ada82a9f2ec3b5d985bab4754f3d4e912f50cce7a4f1c044844292cb4aa,QmrYpj6bGEGJeiynFBbcf9i19H65sXeushiKMG4WxbVcv3,BlockDAG,ERC-721,94.4332,6,standard,True,True,True,143060,Petrol,Manual,Blue,4,3,0,1,2023-02-14,2023-09-02,2024-05-06
35,0xbcb48ddd6b8f398f88cd9433d23655b73d17f5a8,0x69effd416e77a88277cdc13c844ef27273e829bb,BMW,M5,2009,WBA091989045194,BC09 ZTM,premium,9218,35000,SW1 2ES,Westminster,very_high,2023-06-24,0xcf5f9fbdfa11bc483ec587156d396182e7c6bfae3d31b03c97d5e70c10f2c141,2023-10-03,0xbe3d5475e543ee1fd241de0ad2cdd0f8626afd95a3e1498e6035b53c5226ec3c,QmZiXHBNCDchGtxfKJvFsYQBoPgSgvcyUEF1gyy1DD5Rzu,BlockDAG,ERC-721,73.9218,3,standard,True,True,True,16721,Petrol,Automatic,White,5,5,0,0,2024-12-08,2023-06-24,2023-10-03
36,0xfac8f46faed69892fd3ead4858fe0f97d6f2bda8,0x396a83fac3128fd15d4588a1f6c4c7c1592a8d1b,Jaguar,E-Type,2014,SAJ144423889851,BC14 MVL,luxury,23978,60000,CR0 8IU,Croydon,medium,2022-04-30,0x8b442231c5fb272ddcf1cde058fa1f2c24a29e481d97506cddfaf2f8aa32afef,2024-06-07,0x1cf7b5dbddaf47eda207cc4289e48e090003ada5e3f569725af06f7764112eb8,Qm5xpoN7Jp7stch4oHGtV6oBT5YBxNRQRLTPMgdWWJUHk1,BlockDAG,ERC-721,81.29780000000001,6,standard,False,False,True,22635,Electric,Manual,Blue,5,1,2,1,2024-11-26,2022-04-30,2024-06-07
37,0x53092a173e72ffd87debeca9041c179d18299136,0x5c8663cdd8d417bf99f558abc835f7542aec86cb,Toyota,Prius,2002,WBA020133497814,BC02 RTO,standard,1763,12000,E1 2LS,Tower Hamlets,high,2022-01-29,0x43ab43bdd25bbc717366b4c7df23c8460efcdee151ba4ebed0b9c395ac02d345,2024-07-11,0x60300e10584d33994ad9451b61e8646e1561e4b245d8ec71d9b45f6a8bf27129,QmA5RbBAshvsVGC2YyXXRT7tvnHLCcmyCqiv4PdR2HrqGt,BlockDAG,ERC-721,56.6763,0,standard,False,False,False,9917,Hybrid,Manual,Silver,3,3,2,0,2023-09-01,2022-01-29,2024-07-11
38,0x6c5b90ce27edf01ab505c35b2211cc0fe59b97f7,0x23fcd4d6ce32e628fe229948bd4df82b60a50653,Ferrari,F8,2013,ZFF139978803118,EF13 ANT,supercar,80886,220000,CR0 5JO,Croydon,medium,2024-08-14,0x0b42c361b5668dab8afc24f315faf2808306e5db37b0cc42435f401e03d719c8,2023-02-22,0x74203946699c214b63d696a2b3ef9d1f8f81d4af75e9751c64fd8a3584e8c352,QmYZT2jA7WtAdtVcqRiQ8RRB1qCKXBJGvap48gNL1uHASj,BlockDAG,ERC-721,90.5,24,comprehensive,False,True,False,84457,Hybrid,Manual,Blue,2,1,2,0,2024-06-08,2024-08-14,2023-02-22
39,0xfac8f46f8bc580572ce3576a0cd1ad16a154dc24,0x25f0621edc5e4a2e897cc8be9a981fe81a6b05e2,Jaguar,XK,2024,SAJ244080639080,AB24 CHB,luxury,23000,25000,N1 8AY,Islington,medium,2024-08-31,0x97a3d790a871d127e23b744811b707b5f2ff01e004340eeb2b44466bf795aa6d,2024-09-12,0x9eb27e5b5a8535e342dfda4ce20c750cce0885163a6e4691925ea2186912ded5,QmyaQAzaFUX4QL67R4ieqsFaRPL8S3mBaFdaa6jMKAJV8u,BlockDAG,ERC-721,82.2,6,standard,True,True,True,74461,Diesel,Automatic,Red,2,1,1,0,2023-01-18,2024-08-31,2024-09-12
40,0x01083da21df5a2465f0cdefb51ef874af686c30c,0xf78c2a2c3646353285fe91468699921e2d9243fb,Ford,Fiesta,2021,WBA210213587182,CD21 EPD,standard,4298,6000,N1 5YQ,Islington,medium,2024-06-28,0x631b97b7d7ed9b38e656ff06908f38b55a18ab50fff239d8f92e8bb3e755c175,2023-02-13,0x0a4551e8af47a9289b40e58fdfd1e8fa2e64c81778c94c9a40257661a498c177,QmQQR8x4DKsZwxcrLtVwvvLsDtKkTnMn8hRtqAgVvwSCKy,BlockDAG,ERC-721,42.4298,0,standard,True,True,True,142373,Petrol,Manual,White,4,5,1,1,2024-01-28,2024-06-28,2023-02-13
